,Segment ID,MediaCom Audience Name,Country,Business Unit,Audience Source,created_date,Placements Count,Segment Used
505,dti0yuqgsbb,targeting-homeschoolinghighschool_us-csbo-con_3pofftheshelf_liveramp-skyd_in,us,csbo-con,Liveramp,2023-06-05 10:01:35,0.0,False
506,drxghqe5fo2,targeting-homeschoolingmiddleschool_us-csbo-con_3pofftheshelf_liveramp-skyd_in,us,csbo-con,Liveramp,2023-06-05 10:01:35,0.0,False
507,dbw7kpfdl4x,targeting-summerinternships_us-csbo-con_3pofftheshelf_liveramp-asm_in,us,csbo-con,Liveramp,2023-06-05 10:09:01,0.0,False
508,du2vlf12tcn,targeting-lookingforhealthandmedicaljobs_us-csbo-con_3pofftheshelf_liveramp-adg_in,us,csbo-con,Liveramp,2023-06-05 10:09:01,0.0,False
509,dvbqh6gxqjz,targeting-publisherpage_us-csbo-con_3pofftheshelf_liveramp-sht_in,us,csbo-con,Liveramp,2023-06-05 10:09:01,0.0,False
510,d2ljft0kted,targeting-socialsharingpagevisits_us-csbo-con_3pofftheshelf_liveramp-sht_in,us,csbo-con,Liveramp,2023-06-05 10:09:01,0.0,False
511,d475ivjxlh7,targeting-firmshiringfreelancers_us-csbo-con_3pofftheshelf_liveramp-ads_in,us,csbo-con,Liveramp,2023-06-05 10:16:05,0.0,False
512,di01dsa1iid,targeting-interestedinhiringandrecruiitngfreelancers_us-csbo-con_3pofftheshelf_liveramp-dtsg_in,us,csbo-con,Liveramp,2023-06-05 10:16:05,0.0,False
513,dc2h0c0kvzc,targeting-followingfreelancers_us-csbo-con_3pofftheshelf_liveramp-dst_in,us,csbo-con,Liveramp,2023-06-05 10:16:05,0.0,False
514,d8zhs907frp,targeting-freelancingguru_us-csbo-con_3pofftheshelf_liveramp-skyd_in,us,csbo-con,Liveramp,2023-06-05 10:16:05,0.0,False
515,dyfp6e2q7mp,targeting-spendwithfreelancemarketplace_us-csbo-con_3pofftheshelf_liveramp-ultd_in,us,csbo-con,Liveramp,2023-06-05 10:16:05,0.0,False
516,dj61w2drfpa,targeting-engagewithfreelanceservice_us-csbo-con_3pofftheshelf_liveramp-ultd_in,us,csbo-con,Liveramp,2023-06-05 10:16:05,0.0,False
517,dpcmauzqokm,targeting-parttimeworkers_us-csbo-con_3pofftheshelf_liveramp-amrb_in,us,csbo-con,Liveramp,2023-06-05 10:21:58,0.0,False
518,deohur47qtd,targeting-pysicallawsctv_us-csbo-con_3pofftheshelf_liveramp-123_in,us,csbo-con,Liveramp,2023-06-05 10:36:29,0.0,False
519,d26gky7rq9g,targeting-physicallawssocialmediadata_us-csbo-con_3pofftheshelf_liveramp-123_in,us,csbo-con,Liveramp,2023-06-05 10:36:29,0.0,False
520,dmq43s1xzxe,targeting-brandspecificsocialandmultichannelpurchasetransactions_us-csbo-con_3pofftheshelf_liveramp-alnt_in,us,csbo-con,Liveramp,2023-06-05 10:36:29,0.0,False
521,d44okmsr7qt,targeting-disposabletableware_us-csbo-con_3pofftheshelf_liveramp-iri_in,us,csbo-con,Liveramp,2023-06-05 10:36:29,0.0,False
522,dm65xi4ispt,targeting-righttoworklaws_us-csbo-con_3pofftheshelf_liveramp-l2d_in,us,csbo-con,Liveramp,2023-06-05 10:36:29,0.0,False
523,drsj8weremp,targeting-vehicledrivinglaws_us-csbo-con_3pofftheshelf_liveramp-sht_in,us,csbo-con,Liveramp,2023-06-05 10:36:29,0.0,False
524,d3pt7n1xlgy,targeting-vehicleandtrafficsafety_us-csbo-con_3pofftheshelf_liveramp-sht_in,us,csbo-con,Liveramp,2023-06-05 10:36:29,0.0,False
525,d7cz84g413x,targeting-druglawsandpolicy_us-csbo-con_3pofftheshelf_liveramp-sht_in,us,csbo-con,Liveramp,2023-06-05 10:36:29,0.0,False
526,dhd6dxm5dzv,targeting-laborlawsandissues_us-csbo-con_3pofftheshelf_liveramp-sht_in,us,csbo-con,Liveramp,2023-06-05 10:36:29,0.0,False
527,dlpur9v7wg9,targeting-desktopasaservice_us-csbo-con_3pofftheshelf_liveramp-brd_in,us,csbo-con,Liveramp,2023-06-05 10:41:25,0.0,False
528,drs8pqd1o1b,targeting-cloudcomputinganddevops_us-csbo-con_3pofftheshelf_liveramp-skyd_in,us,csbo-con,Liveramp,2023-06-05 10:41:25,0.0,False
529,d15zlejl61z,targeting-cloudservices_us-csbo-con_3pofftheshelf_liveramp-123_in,us,csbo-con,Liveramp,2023-06-05 10:41:25,0.0,False
530,dy9re74qiqm,targeting-cloudinfrastructurecomputing_us-csbo-con_3pofftheshelf_liveramp-123_in,us,csbo-con,Liveramp,2023-06-05 10:41:25,0.0,False
531,dvaufa2hok6,targeting-cloudcomputing_us-csbo-con_3pofftheshelf_liveramp-123_in,us,csbo-con,Liveramp,2023-06-05 10:41:25,0.0,False
532,d5pbwago30c,targeting-socialmobileanalyticscloud_us-csbo-con_3pofftheshelf_liveramp-180_in,us,csbo-con,Liveramp,2023-06-05 10:41:25,0.0,False
533,daa4oyyvo64,targeting-clouddigitalassetmanagement_us-csbo-con_3pofftheshelf_liveramp-180_in,us,csbo-con,Liveramp,2023-06-05 10:41:25,0.0,False
534,d7rw6bckjpd,targeting-cloud_us-csbo-con_3pofftheshelf_liveramp-180_in,us,csbo-con,Liveramp,2023-06-05 10:41:25,0.0,False
535,d9pwr8a2wkb,targeting-disasterrecoveryasaservice_us-csbo-con_3pofftheshelf_liveramp-180_in,us,csbo-con,Liveramp,2023-06-05 10:41:25,0.0,False
536,d257x7vsgt5,targeting-schoolstudents_us-csbo-con_3pofftheshelf_liveramp-123-dst-skyd_be/de/im/in,us,csbo-con,Liveramp,2023-06-05 12:47:52,0.0,False
537,dmhdnfevzou,targeting-interns_us-csbo-con_3pofftheshelf_liveramp-asm-adg-sht_be/de/im/in,us,csbo-con,Liveramp,2023-06-05 12:47:52,0.0,False
538,dqjbvx024n7,targeting-freelancers_us-csbo-con_3pofftheshelf_liveramp-ads-dtsg-dst-skyd-ultd_be/em/fi/im,us,csbo-con,Liveramp,2023-06-05 12:47:52,0.0,False
539,dzyu98px8be,targeting-parttimeworkers_us-csbo-con_3pofftheshelf_liveramp-amrb_em/fi/in,us,csbo-con,Liveramp,2023-06-05 12:47:52,0.0,False
540,dzscdmetfzk,targeting-aws_us-csbo-con_3pofftheshelf_liveramp-123-alnt-iri-l2d-sht_be/co/de,us,csbo-con,Liveramp,2023-06-05 12:47:52,0.0,False
541,ddzm1r87on2,targeting-cloud_us-csbo-con_3pofftheshelf_liveramp-123-180-brd-skyd_be/de/em/im,us,csbo-con,Liveramp,2023-06-05 12:47:52,0.0,False
542,d68fx1p0hap,targeting-consumerreactivation_us-csbo-con_1pcrm_aiqcrm-aiq_na,us,csbo-con,AIQ CRM,2023-06-08 04:18:36,0.0,False
543,da66c4srs04,targeting-sbreactivation_us-csbo-sb_1pcrm_aiqcrm-aiq_na,us,csbo-sb,AIQ CRM,2023-06-08 04:18:36,0.0,False
544,dn3jd2bpab6,targeting-gamingreactivation_us-csbo-gseries_1pcrm_aiqcrm-aiq_na,us,csbo-gseries,AIQ CRM,2023-06-08 04:18:36,0.0,False
545,djfe1p1cx5e,targeting-consumerreactivation_uk-csbo-con_1pcrm_aiqcrm-aiq_na,uk,csbo-con,AIQ CRM,2023-06-08 04:18:36,0.0,False
546,ds7txeisuq5,targeting-sbreactivation_uk-csbo-sb_1pcrm_aiqcrm-aiq_na,uk,csbo-sb,AIQ CRM,2023-06-08 04:18:36,0.0,False
547,d125e0fdy2e,targeting-gamingreactivation_uk-csbo-gseries_1pcrm_aiqcrm-aiq_na,uk,csbo-gseries,AIQ CRM,2023-06-08 04:18:36,0.0,False
548,d2n0oj79jfw,targeting-consumerreactivation_fr-csbo-con_1pcrm_aiqcrm-aiq_na,fr,csbo-con,AIQ CRM,2023-06-08 04:18:36,0.0,False
549,dy4i2bx5plr,targeting-sbreactivation_fr-csbo-sb_1pcrm_aiqcrm-aiq_na,fr,csbo-sb,AIQ CRM,2023-06-08 04:18:36,0.0,False
550,dni7xjdi7wa,targeting-gamingreactivation_fr-csbo-gseries_1pcrm_aiqcrm-aiq_na,fr,csbo-gseries,AIQ CRM,2023-06-08 04:18:36,0.0,False
551,d2rr0qnc7yh,targeting-consumerreactivation_de-csbo-con_1pcrm_aiqcrm-aiq_na,de,csbo-con,AIQ CRM,2023-06-08 04:18:36,0.0,False
552,ddwla9x67mu,targeting-sbreactivation_de-csbo-sb_1pcrm_aiqcrm-aiq_na,de,csbo-sb,AIQ CRM,2023-06-08 04:18:36,0.0,False
553,dbsgxfxigdf,targeting-gamingreactivation_de-csbo-gseries_1pcrm_aiqcrm-aiq_na,de,csbo-gseries,AIQ CRM,2023-06-08 04:18:36,0.0,False
554,dwg8jcfqn24,targeting-consumerreactivation_br-csbo-con_1pcrm_aiqcrm-aiq_na,br,csbo-con,AIQ CRM,2023-06-08 04:18:36,0.0,False
555,dnoqsvf66er,targeting-sbreactivation_br-csbo-sb_1pcrm_aiqcrm-aiq_na,br,csbo-sb,AIQ CRM,2023-06-08 04:18:36,0.0,False
556,dj8nbevqvbg,targeting-gamingreactivation_br-csbo-gseries_1pcrm_aiqcrm-aiq_na,br,csbo-gseries,AIQ CRM,2023-06-08 04:18:36,0.0,False
557,dvcx44ft7cy,targeting-developmentandreactivation_au-csbo-con_1pcrm_liveramp-cep_na,au,csbo-con,Liveramp,2023-06-08 13:51:25,0.0,False
558,din1a4gok47,targeting-reactivation_au-csbo-con_1pcrm_liveramp-cep_na,au,csbo-con,Liveramp,2023-06-08 13:51:25,0.0,False
559,dri76egxvlm,targeting-dormant_au-csbo-con_1pcrm_liveramp-cep_na,au,csbo-con,Liveramp,2023-06-08 13:51:25,0.0,False
560,duo2878qc1v,targeting-inquirer_au-csbo-con_1pcrm_liveramp-cep_na,au,csbo-con,Liveramp,2023-06-08 13:51:25,0.0,False
