,Campaign,BU,"Display Tactic (Display, Video, CTV etc.)",Partner,Targeting Type,Audience ID,"Deilvery ID
(to find Oracle DMP deliveries)",Audience Name,Audience Description,Audience Priority,Audience Size,ABM Accounts #,CRM,Data Provider,Retargeting (Stage 2),Audience Type,Programmatic,Launch Status,3P ABM delivery,CEP ABM Accounts #,AIQ IDS,AIQ Account size,AIQ Hashed email count size,AIQ Match Rate,Bombora Unique Domains,# of matched domains,Bombora Match Rate,AIQ Email Count,"Display Tactic (Display, Video, CTV etc.) ","Delivery ID
(for Oracle only)",Data CPM,Audience Category,Status (activated/deactivated dates)
90,APJ LTBM_X v2 Premier TXL,CE,Display/Video,DV360 / TTD,3P ABM,dp3wih16qk2,,abm-apjq1ltbmxv2premier_sg-b2b-com_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 Premier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,499.0,429996.0,261.0,,0.5230460921843687,,,,22870.0,,,,,
91,APJ LTBM_X v2 Premier TXL,MB,Display/Video,DV360 / TTD,3P ABM,dwgs8g8q625,,abm-apjq1ltbmxv2premier_anz-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 Premier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,1797.0,429978.0,1790.0,,0.9961046188091264,,,,37057.0,,,,,
92,APJ LTBM_X v2 Premier TXL,MB,Display/Video,DV360 / TTD,3P ABM,dzmmydi3oll,,abm-apjq1ltbmxv2premier_in-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 Premier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,763.0,429981.0,759.0,,0.9947575360419397,,,,12261.0,,,,,
93,APJ LTBM_X v2 Premier TXL,MB,Display/Video,DV360 / TTD,3P ABM,dzqw5fff7tu,,abm-apjq1ltbmxv2premier_jp-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 Premier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,4001.0,429987.0,3994.0,,0.9982504373906523,,,,44104.0,,,,,
94,APJ LTBM_X v2 Premier TXL,MB,Display/Video,DV360 / TTD,3P ABM,diimexyedln,,abm-apjq1ltbmxv2premier_kr-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 Premier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,172.0,429986.0,172.0,,1.0,,,,1279.0,,,,,
95,APJ LTBM_X v2 Premier TXL,MB,Display/Video,DV360 / TTD,3P ABM,d9m5mlhumq8,,abm-apjq1ltbmxv2premier_my-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 Premier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,488.0,429993.0,487.0,,0.9979508196721312,,,,5358.0,,,,,
96,APJ LTBM_X v2 Premier TXL,MB,Display/Video,DV360 / TTD,3P ABM,dnym8fxj00q,,abm-apjq1ltbmxv2premier_sg-b2b-mb_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 Premier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,697.0,429997.0,691.0,,0.9913916786226685,,,,7923.0,,,,,
97,APJ LTBM_X v2 NonPremier TXL,CE,Display/Video,DV360 / TTD,3P ABM,d1wh0baavfc,,abm-apjq1ltbmxv2nonpremier_anz-b2b-com_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,5461.0,429974.0,4296.0,,0.7866691082219374,,,,144994.0,,,,,
98,APJ LTBM_X v2 NonPremier TXL,CE,Display/Video,DV360 / TTD,3P ABM,d1ugwfc215o,,abm-apjq1ltbmxv2nonpremier_in-b2b-com_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,20696.0,429979.0,20118.0,,0.9720718979512949,,,,322918.0,,,,,
99,APJ LTBM_X v2 NonPremier TXL,CE,Display/Video,DV360 / TTD,3P ABM,dbife39k06q,,abm-apjq1ltbmxv2nonpremier_jp-b2b-com_3pabm_aiqcrm-bom_im,FY25Q1 APJ LTBM_X v2 NonPremier,,,,CIP,Bombora/AIQ,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,Excel files - Bombora,69139.0,429989.0,52687.0,,0.7620445768668913,,,,324136.0,,,,,
