,Taxonomy,Count,Audiences,Audience_Id,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,DataProvider
10,"12894/*Neustar AdAdvisor Consumer Audiences*/,44997322/*Demographics > Presence of Children > Parent of Children Over 18-Living in Another Location*/",2,"targeting-parents_us-csbo-con_3pofftheshelf_neustar-ada_im/in, targeting-parents_us-csbo-con_3pofftheshelf_neustar-180-ada-alnt_im/in","46475329, 46459856",12894,*Neustar AdAdvisor Consumer Audiences*,",44997322",*Demographics , Presence of Children , Parent of Children Over 18-Living in Another Location*,,,adadvisor
11,"25752/*180byTwo_DataDirectory*/,44579646/*180byTwo from Anteriad > B2B Intent > Technology > Servers*/",2,"targeting-serverusers_us-csbo-sb_3pofftheshelf_neustar-180_be/in, targeting-largeserver_us-csbo-sb_3pofftheshelf_neustar-180_fi/im","46460036, 46460005",25752,*180byTwo_DataDirectory*,",44579646",*180byTwo from Anteriad , B2B Intent , Technology , Servers*,,180bytwo
12,"33271/*Adstra Data Directory Taxonomy*/,12816239/*B2B_100222*/",2,"abm-na_us-mb_abm_neustar-180-ads_fi_d1rwgyoqaik, test_ABM_audience_NSR_JC_032823","46253426, 46253422",33271,*Adstra Data Directory Taxonomy*,",12816239",*B2B_100222*,,,,,
13,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4948393/*Currently Full/Part-Time College Student*/",2,"targeting-collegestudents_us-csbo-con_3pofftheshelf_neustar-ada_de/im, targeting-collegestudents_us-csbo-con_3pofftheshelf_neustar-ada-aiq_de/im","46475365, 46460033",33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4948393",*Currently Full,Part-Time College Student*,,,,adadvisor
14,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949545/*SMALL 10- Business Services*/",2,"targeting-sbdm_us-csbo-sb_3pofftheshelf_neustar-ada_de/im, targeting-smallbusinessdevelopmentmanagerconsumers_us-csbo-gseries_3pofftheshelf_neustar-ada_em/fi","46475336, 46475366",33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949545",*SMALL 10- Business Services*,,,,,adadvisor
15,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4947871/*Last Computer Purchase: 2-3 Years Ago*/",2,"targeting-pcbuyer_us-csbo-con_1pcrm_neustar-ada_na, TEST - Computer Interest","46475367, 45954177",33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4947871",*Last Computer Purchase: 2-3 Years Ago*,,,,,adadvisor
16,"25752/*180byTwo_DataDirectory*/,30867528/*180byTwo from Anteriad > B2B > Decision Makers > Information Technology / IT Decision Makers*/",2,"abm-na_us-mb_abm_neustar-180-ads_fi_d1rwgyoqaik, test_ABM_audience_NSR_JC_032823","46253426, 46253422",25752,*180byTwo_DataDirectory*,",30867528",*180byTwo from Anteriad , B2B , Decision Makers , Information Technology , IT Decision Makers*/,180bytwo
17,"12894/*Neustar AdAdvisor Consumer Audiences*/,2997575/*Technology & Computing > Computer Brand > Home PC-Brand HH Most Recently Acquired-Dell*/",2,"targeting-dellpurchaseintent_us-csbo-con_3pofftheshelf_neustar-ada_be/im/in, targeting-dellcomputerconquesting_us-csbo-sb_3pofftheshelf_neustar-ada_fi/im","46485037, 46475364",12894,*Neustar AdAdvisor Consumer Audiences*,",2997575",*Technology & Computing , Computer Brand , Home PC-Brand HH Most Recently Acquired-Dell*,,,adadvisor
18,"25752/*180byTwo_DataDirectory*/,30867922/*180byTwo from Anteriad > B2B > Job Seniority > C: Director*/",2,"abm-na_us-mb_abm_neustar-180-ads_fi_d1rwgyoqaik, test_ABM_audience_NSR_JC_032823","46253426, 46253422",25752,*180byTwo_DataDirectory*,",30867922",*180byTwo from Anteriad , B2B , Job Seniority , C: Director*,,180bytwo
19,"23985/*33Across Taxonomy*/,8999907/*Games*/",2,"targeting-gamingfanatics_us-csbo-gseries_3pofftheshelf_neustar-33a-msc_be/in, targeting-usgaminggamer_us-csbo-gseries_3pofftheshelf_neustar-33a-aiq_be/im/in","46460001, 46460000",23985,*33Across Taxonomy*,",8999907",*Games*,,,,,33across
