,Taxonomy,Count,Audiences,Audience_Id,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,DataProvider
124,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4947214/*Occupation: Professional- Architecture & Engineering/Life*/",1,targeting-architects_us-csbo-sb_3pofftheshelf_neustar-ada_em/fi/in,46485034,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4947214",*Occupation: Professional- Architecture & Engineering,Life*,,,,adadvisor
125,"12894/*Neustar AdAdvisor Consumer Audiences*/,6919386/*Computers & Electronics > TV - When Acquired > HH Acquired Any TV 3-4 Years Ago*/",1,targeting-tvlovers_us-csbo-sb_3pofftheshelf_neustar-ada_be/in,46485033,12894,*Neustar AdAdvisor Consumer Audiences*,",6919386",*Computers & Electronics , TV - When Acquired , HH Acquired Any TV 3-4 Years Ago*,,,adadvisor
126,"12894/*Neustar AdAdvisor Consumer Audiences*/,6919388/*Computers & Electronics > TV - When Acquired > HH Acquired Any TV 1-2 Years Ago*/",1,targeting-tvlovers_us-csbo-sb_3pofftheshelf_neustar-ada_be/in,46485033,12894,*Neustar AdAdvisor Consumer Audiences*,",6919388",*Computers & Electronics , TV - When Acquired , HH Acquired Any TV 1-2 Years Ago*,,,adadvisor
127,"12160/*Neustar AdAdvisor - Business*/,2965209/*Company Size: 1-4 employees*/",1,targeting-itdmlessthan100employees_us-csbo-sb_3pofftheshelf_neustar-ada_em/fi,46484803,12160,*Neustar AdAdvisor - Business*,",2965209",*Company Size: 1-4 employees*,,,,,adadvisor
128,"12160/*Neustar AdAdvisor - Business*/,2965210/*Company Size: 20-100 employees*/",1,targeting-itdmlessthan100employees_us-csbo-sb_3pofftheshelf_neustar-ada_em/fi,46484803,12160,*Neustar AdAdvisor - Business*,",2965210",*Company Size: 20-100 employees*,,,,,adadvisor
129,"12160/*Neustar AdAdvisor - Business*/,2965212/*Company Size: 5-19 employees*/",1,targeting-itdmlessthan100employees_us-csbo-sb_3pofftheshelf_neustar-ada_em/fi,46484803,12160,*Neustar AdAdvisor - Business*,",2965212",*Company Size: 5-19 employees*,,,,,adadvisor
130,"12894/*Neustar AdAdvisor Consumer Audiences*/,44997519/*Entertainment > Television Shows > Watched Sports Event Online: NFL Football Regular Season*/",1,targeting-esportsenthusiasts_us-csbo-gseries_3pofftheshelf_neustar-ada_be/in,46475333,12894,*Neustar AdAdvisor Consumer Audiences*,",44997519",*Entertainment , Television Shows , Watched Sports Event Online: NFL Football Regular Season*,,,adadvisor
131,"12894/*Neustar AdAdvisor Consumer Audiences*/,2996464/*Education > Highest Level of Education for Head of Household > Edu: Graduate Degree*/",1,targeting-collegegraduatesindividuals_us-csbo-con_3pofftheshelf_neustar-ada_co/de,46475332,12894,*Neustar AdAdvisor Consumer Audiences*,",2996464",*Education , Highest Level of Education for Head of Household , Edu: Graduate Degree*,,,adadvisor
132,"14007/*Neustar AdAdvisor - Individual Age Group*/,3033404/*Age Group --> 45-54 --> 54-55*/",1,targeting-agedemo18to54_us-csbo-con_3pofftheshelf_neustar-ada_be/de,46475331,14007,*Neustar AdAdvisor - Individual Age Group*,",3033404",*Age Group --, 45-54 --, 54-55*,,,adadvisor
133,"25752/*180byTwo_DataDirectory*/,44581260/*180byTwo from Anteriad > B2B Intent > Technology > Virtualization > Server Virtualization*/",1,targeting-inmarketforservers_us-csbo-sb_3pofftheshelf_neustar-180_de/im,46460037,25752,*180byTwo_DataDirectory*,",44581260",*180byTwo from Anteriad , B2B Intent , Technology , Virtualization , Server Virtualization*/,180bytwo
134,"25752/*180byTwo_DataDirectory*/,30867625/*180byTwo from Anteriad > B2B > Functional Area > Middle Management > Business Development Managers*/",1,targeting-smallbusinessdevelopmentmanagerconsumers_us-csbo-gseries_3pofftheshelf_neustar-180-33a_em/fi,46460035,25752,*180byTwo_DataDirectory*,",30867625",*180byTwo from Anteriad , B2B , Functional Area , Middle Management , Business Development Managers*/,180bytwo
