Global Country (Calc),Global Audience Type (Calc),Display Funnel Mapped,Global Tactic V2 B2B (Calc),LOB,Display Business Unit Mapped,Display Funnel Mapped,Audience Type,Actual Spend (GCSB) (Calc),LC True Revenue BQ (GCSB) (Calc)
United States,3PD,Demand Creation,BRAND,B2B,Dell Tech Concierge,Demand Creation,KCT-3PD-CONTEXTUAL,0.0,2910.6400000000003
United States,3PD,Demand Creation,BRAND,B2B,Dell Tech Concierge,Demand Creation,PROXIMITY-3PD-BEHAVIOR,0.0,1010.21
United States,3PD,Demand Creation,BRAND,B2B,Dell Tech Concierge,Demand Creation,PROXIMITY-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Demand Creation,BRAND,B2B,Dell Tech Concierge,Demand Creation,ROS-3PD-PMP,0.0,0.0
United States,3PD,Demand Creation,BRAND,B2B,Medium Business,Demand Creation,CATEGORY-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Demand Creation,BRAND,B2B,Medium Business,Demand Creation,IN-MARKET-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Demand Creation,BRAND,CSB,Alienware,Demand Creation,AFFINITY-3PD-BEHAVIOR,0.0,0.0
United States,3PD,Demand Creation,BRAND,CSB,Alienware,Demand Creation,CATEGORY-3PD-CONTEXTUAL,0.0,45943.58
United States,3PD,Demand Creation,BRAND,CSB,Alienware,Demand Creation,DMP-3PD-AUDIENCE,0.0,0.0
United States,3PD,Demand Creation,BRAND,CSB,Alienware,Demand Creation,DOMAIN-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Demand Creation,BRAND,CSB,Consumer,Demand Creation,AFFINITY-3PD-BEHAVIOR,0.0,42059.55
United States,3PD,Demand Creation,BRAND,CSB,Consumer,Demand Creation,CATEGORY-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Demand Creation,BRAND,CSB,Consumer,Demand Creation,DOMAIN-3PD-CONTEXTUAL,0.0,47913.55
United States,3PD,Demand Creation,BRAND,CSB,Other,Demand Creation,DOMAIN-3PD-CONTEXTUAL,0.0,17373.42
United States,3PD,Demand Creation,BRAND,CSB,Small Business,Demand Creation,AFFINITY-3PD-BEHAVIOR,0.0,0.0
United States,3PD,Demand Creation,BRAND,CSB,Small Business,Demand Creation,CATEGORY-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Demand Creation,BRAND,CSB,Small Business,Demand Creation,DMP-3PD-AUDIENCE,0.0,0.0
United States,3PD,Demand Creation,BRAND,CSB,Small Business,Demand Creation,DOMAIN-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Demand Creation,BRAND,CSB,Small Business,Demand Creation,IN-MARKET-3PD-BEHAVIOR,0.0,0.0
United States,3PD,Demand Creation,BRAND,CSB,Small Business,Demand Creation,KCT-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Demand Creation,BRAND,CSB,Small Business,Demand Creation,SITE-IN-MARKET-3PD-BEHAVIOR,0.0,0.0
United States,3PD,Demand Creation,BRAND,CSB,Small Business,Demand Creation,VIDEO-3PD-RETARGET-EXPOSED,0.0,0.0
United States,3PD,Demand Creation,ENGAGEMENT,B2B,Commercial,Demand Creation,CATEGORY-3PD-CONTEXTUAL,226280.48,16334.390000000001
United States,3PD,Demand Creation,ENGAGEMENT,B2B,Commercial,Demand Creation,KCT-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Demand Creation,ENGAGEMENT,B2B,Medium Business,Demand Creation,CATEGORY-3PD-CONTEXTUAL,68434.16,7339.66
United States,3PD,Demand Creation,PROSPECTING,CSB,Alienware,Demand Creation,CATEGORY-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Demand Creation,PROSPECTING,CSB,Alienware,Demand Creation,DMP-3PD-AUDIENCE,0.0,0.0
United States,3PD,Demand Creation,PROSPECTING,CSB,Small Business,Demand Creation,CATEGORY-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Demand Creation,PROSPECTING,CSB,Small Business,Demand Creation,DOMAIN-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Demand Creation,PROSPECTING,Other,Retail,Demand Creation,AFFINITY-3PD-BEHAVIOR,0.0,0.0
United States,3PD,Demand Creation,PROSPECTING,Other,Retail,Demand Creation,IN-MARKET-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Demand Creation,PROSPECTING,Other,Retail,Demand Creation,PROXIMITY-3PD-BEHAVIOR,0.0,0.0
United States,3PD,High Propsensity Prospects,BRAND,CSB,Other,High Propsensity Prospects,AFFINITY-3PD-BEHAVIOR,582977.98,1237444.48
United States,3PD,High Propsensity Prospects,BRAND,CSB,Other,High Propsensity Prospects,CATEGORY-3PD-CONTEXTUAL,278063.56,261960.27
United States,3PD,High Propsensity Prospects,BRAND,CSB,Other,High Propsensity Prospects,DOMAIN-3PD-CONTEXTUAL,411962.78,313552.27999999997
United States,3PD,High Propsensity Prospects,BRAND,CSB,Other,High Propsensity Prospects,IN-MARKET-3PD-BEHAVIOR,14527.52,0.0
