,Audience Type,Fiscal Quarter,Fiscal Week Year,Country,BU,Audience ID Exists,Segment ID
221,1PD,2023-Q3,2023-W38,United States,CSB,No ID,2
222,1PD,2023-Q3,2023-W39,Australia,B2B,No ID,1
223,1PD,2023-Q3,2023-W39,Canada,B2B,No ID,1
224,1PD,2023-Q3,2023-W39,Canada,CSB,No ID,2
225,1PD,2023-Q3,2023-W39,France,CSB,No ID,2
226,1PD,2023-Q3,2023-W39,Germany,B2B,No ID,1
227,1PD,2023-Q3,2023-W39,Germany,CSB,No ID,2
228,1PD,2023-Q3,2023-W39,India,B2B,No ID,1
229,1PD,2023-Q3,2023-W39,India,CSB,No ID,1
230,1PD,2023-Q3,2023-W39,Japan,B2B,No ID,1
231,1PD,2023-Q3,2023-W39,Japan,CSB,No ID,2
232,1PD,2023-Q3,2023-W39,Malaysia,B2B,No ID,1
233,1PD,2023-Q3,2023-W39,Netherlands,CSB,No ID,2
234,1PD,2023-Q3,2023-W39,Singapore,B2B,No ID,1
235,1PD,2023-Q3,2023-W39,Spain,CSB,No ID,2
236,1PD,2023-Q3,2023-W39,Sweden,CSB,No ID,2
237,1PD,2023-Q3,2023-W39,Switzerland,CSB,No ID,2
238,1PD,2023-Q3,2023-W39,United Kingdom,CSB,No ID,2
239,1PD,2023-Q3,2023-W39,United States,B2B,No ID,1
240,1PD,2023-Q3,2023-W39,United States,CSB,No ID,2
241,1PD,2023-Q4,2023-W40,Australia,B2B,No ID,1
242,1PD,2023-Q4,2023-W40,Canada,B2B,No ID,1
243,1PD,2023-Q4,2023-W40,Canada,CSB,No ID,2
244,1PD,2023-Q4,2023-W40,France,CSB,No ID,1
245,1PD,2023-Q4,2023-W40,Germany,CSB,No ID,1
246,1PD,2023-Q4,2023-W40,India,B2B,No ID,1
247,1PD,2023-Q4,2023-W40,India,CSB,No ID,1
248,1PD,2023-Q4,2023-W40,Japan,B2B,No ID,1
249,1PD,2023-Q4,2023-W40,Japan,CSB,No ID,2
250,1PD,2023-Q4,2023-W40,Malaysia,B2B,No ID,1
251,1PD,2023-Q4,2023-W40,Netherlands,CSB,No ID,1
252,1PD,2023-Q4,2023-W40,Singapore,B2B,No ID,1
253,1PD,2023-Q4,2023-W40,Spain,CSB,No ID,1
254,1PD,2023-Q4,2023-W40,Sweden,CSB,No ID,1
255,1PD,2023-Q4,2023-W40,Switzerland,CSB,No ID,1
256,1PD,2023-Q4,2023-W40,United Kingdom,B2B,No ID,1
257,1PD,2023-Q4,2023-W40,United Kingdom,CSB,No ID,1
258,1PD,2023-Q4,2023-W40,United States,B2B,No ID,1
259,1PD,2023-Q4,2023-W40,United States,CSB,No ID,2
260,1PD,2023-Q4,2023-W41,Australia,B2B,No ID,1
261,1PD,2023-Q4,2023-W41,Canada,B2B,No ID,1
262,1PD,2023-Q4,2023-W41,Canada,CSB,No ID,2
263,1PD,2023-Q4,2023-W41,France,CSB,No ID,1
264,1PD,2023-Q4,2023-W41,Germany,CSB,No ID,1
265,1PD,2023-Q4,2023-W41,India,B2B,No ID,1
266,1PD,2023-Q4,2023-W41,India,CSB,No ID,1
267,1PD,2023-Q4,2023-W41,Japan,B2B,No ID,1
268,1PD,2023-Q4,2023-W41,Japan,CSB,No ID,2
269,1PD,2023-Q4,2023-W41,Malaysia,B2B,No ID,1
270,1PD,2023-Q4,2023-W41,Netherlands,CSB,No ID,1
271,1PD,2023-Q4,2023-W41,Singapore,B2B,No ID,1
272,1PD,2023-Q4,2023-W41,Spain,CSB,No ID,1
273,1PD,2023-Q4,2023-W41,Sweden,CSB,No ID,1
274,1PD,2023-Q4,2023-W41,Switzerland,CSB,No ID,1
275,1PD,2023-Q4,2023-W41,United Kingdom,CSB,No ID,1
276,1PD,2023-Q4,2023-W41,United States,B2B,No ID,1
277,1PD,2023-Q4,2023-W41,United States,CSB,No ID,2
278,1PD,2023-Q4,2023-W42,Australia,B2B,No ID,1
279,1PD,2023-Q4,2023-W42,Canada,B2B,No ID,1
280,1PD,2023-Q4,2023-W42,Canada,CSB,No ID,2
281,1PD,2023-Q4,2023-W42,France,CSB,No ID,1
282,1PD,2023-Q4,2023-W42,Germany,B2B,No ID,1
283,1PD,2023-Q4,2023-W42,Germany,CSB,No ID,1
284,1PD,2023-Q4,2023-W42,India,B2B,No ID,1
285,1PD,2023-Q4,2023-W42,Japan,B2B,No ID,1
286,1PD,2023-Q4,2023-W42,Japan,CSB,No ID,2
